ὁ,él; la; los; las
ὑπακούω,"obedecer; escuchar, seguir"
ἐξομολογέω,profesar lealtad; acordar; admitir
γλῶσσα,lengua
καταχθόνιος,subterráneo
ἐπουράνιος,celestial
κάμπτω,doblar; inclinarse
γόνυ,rodilla
ὑπερυψόω,exaltar sobremanera; elevar
διό,por lo tanto
ὑπήκοος,obediente; sujeto a
σχῆμα,forma; figura; apariencia externa
ὁμοίωμα,semejanza; imagen
κενόω,vaciar
ἴσος,igual
ἁρπαγμός,algo a que aferrarse
ἕτερος,otro; otra
ἀλλήλων,unos a otros
ταπεινοφροσύνη,humildad
κενοδοξία,vanagloria; arrogancia injustificada
μηδέ,ni; y no
σύμψυχος,unánimes; unidos en espíritu
οἰκτιρμός,compasión; misericordia
παραμύθιον,consuelo
παράκλησις,exhortación; estímulo
οἷος,cual; tal cual
ἀγών,"lucha; competencia, carrera"
πάσχω,sufrir; experimentar
πιστεύω,confiar; creer
ἔνδειξις,prueba; presagio
ἀντίκειμαι,oponerse a; ser hostil
πτύρω,ser intimidado
ἄπειμι,partir; estar ausente
πολιτεύομαι,vivir
ἀξίως,dignamente
παραμένω,continuar; permanecer junto a
μένω,quedar; permanecer; residir
ἐπιμένω,permanecer; continuar
κρείσσων,bueno; mejor; más fuerte
ἀναλύω,"partir; liberar; desatar, morir"
ἐπιθυμία,deseo; lujuria
δύο,dos
συνέχω,atrapar; mantener junta; constreñir
αἱρέομαι,escoger
ἀποθνῄσκω,morir; ser mortal
μεγαλύνω,exaltar; engrandece; hablar altamente de
παρρησία,confianza; denuedo
αἰσχύνω,deshonrar; avergonzar
ἐλπίς,esperanza
ἀποκαραδοκία,anhelo intenso
ἐπιχορηγία,provisión; apoyo
ἀποβαίνω,salir; descender; desembarcar
ἀλήθεια,verdad
πρόφασις,pretexto; excusa
τρόπος,manera; forma de vida
ἐγείρω,hacer despertar; restaurar; ponerse de pie; resucitar
οἴομαι,pensar; suponer
ἁγνῶς,sinceramente
κεῖμαι,recostarse; reclinarse
κηρύσσω,predicar; anunciar; proclamar
ἔρις,lucha; contienda; discordia
φθόνος,envidia; celos
λαλέω,hablar
ἀφόβως,valiente; intrépido; sin temor
τολμάω,osar; atreverse; arriesgarse a
περισσοτέρως,aún más; especialmente
πραιτώριον,pretorio
ὅλος,todo; completo
φανερός,manifiesto; visible; claro; evidente
βούλομαι,desear; querer
ἀπρόσκοπος,irreprensible
εἰλικρινής,puro; sincero
διαφέρω,cargar; llevar; ser más valioso que
δοκιμάζω,examinar; demostrar; probar; aprobar
αἴσθησις,percepción; discernimiento
ἐπίγνωσις,conocimiento
ἔτι,todavía; además; sin embargo
προσεύχομαι,orar
μάρτυς,mártir; testigo
συγκοινωνός,copartícipe; socio
βεβαίωσις,confirmación
τέ,y; ambos; por tanto; entonces
ἐπιτελέω,completar; lograr
ἀγαθός,bueno; beneficioso
ἐνάρχομαι,comenzar
πρῶτος,primero
μνεία,memoria; remembranza
εὐχαριστέω,ser agradecido; agradecer; dar gracias
διάκονος,diácono; servidor
ἐπίσκοπος,obispo; guardián
Φίλιπποι,Filipos
Παῦλος,Pablo
